timestamp,actual_arrival,scheduled_arrival,passenger_count
2024-01-01 12:06:00,44.15,44,6
2024-01-01 12:53:00,68.15,68,42
2024-01-01 13:57:00,43.25,45,52
2024-01-01 14:30:00,46.58,47,36
2024-01-01 14:40:00,40.31,38,26
2024-01-01 14:42:00,34.02,35,5
2024-01-01 15:03:00,30.16,33,15
2024-01-01 15:12:00,50.49,51,46
2024-01-01 16:36:00,31.63,31,16
2024-01-01 19:19:00,31.51,29,37
2024-01-01 19:19:00,35.06,35,22
2024-01-01 20:07:00,53.72,52,46
2024-01-01 20:09:00,59.76,61,20
2024-01-01 20:19:00,19.42,23,56
2024-01-01 21:03:00,46.83,47,20
2024-01-01 21:26:00,43.86,43,22
2024-01-01 21:39:00,25.03,25,11
2024-01-01 21:42:00,25.39,26,49
2024-01-01 21:56:00,30.04,28,50
2024-01-01 23:22:00,30.0,28,16
2024-01-01 23:26:00,61.47,62,53
2024-01-01 23:44:00,66.81,66,56
2024-01-01 23:45:00,37.09,37,12
2024-01-02 00:58:00,42.97,41,47
2024-01-02 01:33:00,41.66,42,6
2024-01-02 01:39:00,31.23,31,12
2024-01-02 02:34:00,55.82,54,23
2024-01-02 03:09:00,38.09,39,25
2024-01-02 03:15:00,31.13,33,55
2024-01-02 04:10:00,50.29,49,44
2024-01-02 12:21:00,24.69,24,38
2024-01-02 12:32:00,24.83,25,5
2024-01-02 13:04:00,16.44,16,24
2024-01-02 13:08:00,25.97,25,25
2024-01-02 13:42:00,66.82,66,47
2024-01-02 14:14:00,14.07,16,27
2024-01-02 14:44:00,33.7,34,56
2024-01-02 15:04:00,64.27,62,19
2024-01-02 15:12:00,68.44,68,14
2024-01-02 15:19:00,33.13,30,39
2024-01-02 15:36:00,20.12,20,13
2024-01-02 16:22:00,35.94,35,32
2024-01-02 16:46:00,57.46,58,14
2024-01-02 17:26:00,72.37,68,35
2024-01-02 19:19:00,37.31,37,44
2024-01-02 19:49:00,50.9,50,33
2024-01-02 20:44:00,29.32,27,50
2024-01-02 21:40:00,22.42,22,29
2024-01-02 21:43:00,70.05,70,52
2024-01-02 21:49:00,66.27,67,54
2024-01-02 22:44:00,17.6,19,40
2024-01-03 00:04:00,54.96,54,20
2024-01-03 00:53:00,35.21,36,8
2024-01-03 01:11:00,61.25,64,19
2024-01-03 01:14:00,27.7,28,38
2024-01-03 01:22:00,43.64,44,19
2024-01-03 03:14:00,47.09,48,15
2024-01-03 03:23:00,51.39,50,23
2024-01-03 03:39:00,65.81,65,28
2024-01-03 04:27:00,68.87,68,14
2024-01-03 12:27:00,26.77,27,30
2024-01-03 12:38:00,17.52,18,29
2024-01-03 13:08:00,45.22,45,14
2024-01-03 13:59:00,28.03,29,15
2024-01-03 14:04:00,25.68,25,44
2024-01-03 14:10:00,25.32,24,10
2024-01-03 14:16:00,47.14,45,47
2024-01-03 14:38:00,37.74,35,51
2024-01-03 15:13:00,50.83,50,16
2024-01-03 16:22:00,40.21,39,20
